,Player,Tm,TRB,AST,STL,BLK,PTS
508,Jared Sullinger,TOR,27,3,4,1,37
509,Edy Tavares,TOT,11,1,0,6,8
510,Edy Tavares,ATL,1,0,0,0,2
511,Edy Tavares,CLE,10,1,0,6,6
512,Isaiah Taylor,HOU,3,3,1,1,3
513,Jeff Teague,IND,331,639,100,32,1254
514,Mirza Teletovic,MIL,162,48,12,13,451
515,Garrett Temple,SAC,183,169,84,28,506
516,Jason Terry,MIL,106,98,45,20,307
517,Isaiah Thomas,BOS,205,449,70,13,2199
518,Lance Thomas,NYK,142,35,21,5,275
519,Hollis Thompson,TOT,111,35,20,6,205
520,Hollis Thompson,PHI,83,26,14,6,171
521,Hollis Thompson,NOP,28,9,6,0,34
522,Klay Thompson,GSW,285,160,66,40,1742
523,Tristan Thompson,CLE,716,77,39,84,630
524,Marcus Thornton,WAS,76,41,19,3,219
525,Mike Tobey,CHO,3,1,0,0,2
526,Anthony Tolliver,SAC,239,77,33,20,461
527,Axel Toupane,TOT,1,0,1,1,11
528,Axel Toupane,MIL,0,0,0,0,0
529,Axel Toupane,NOP,1,0,1,1,11
530,Karl-Anthony Towns,MIN,1007,220,57,103,2061
531,P.J. Tucker,TOT,472,99,116,19,540
532,P.J. Tucker,PHO,343,73,85,14,401
533,P.J. Tucker,TOR,129,26,31,5,139
534,Evan Turner,POR,247,205,53,24,586
535,Myles Turner,IND,587,106,74,173,1173
536,Beno Udrih,DET,57,131,13,0,227
537,Tyler Ulis,PHO,95,226,48,5,444
538,Jarrod Uthoff,DAL,22,9,2,4,40
539,Jonas Valanciunas,TOR,759,57,37,63,959
540,Denzel Valentine,CHI,151,63,30,7,291
541,Fred VanVleet,TOR,42,35,17,2,107
542,Anderson Varejao,GSW,27,10,3,3,18
543,Greivis Vasquez,BRK,2,5,1,1,7
544,Rashad Vaughn,MIL,49,23,19,10,142
545,Noah Vonleh,POR,387,31,30,27,327
546,Nikola Vucevic,ORL,779,208,77,74,1096
547,Sasha Vujacic,NYK,59,52,13,2,124
548,Dwyane Wade,CHI,271,229,86,41,1096
549,Dion Waiters,MIA,154,200,41,20,729
550,Kemba Walker,CHO,308,435,85,22,1830
551,John Wall,WAS,326,831,157,49,1805
552,Taurean Waller-Prince,ATL,157,55,43,27,335
553,T.J. Warren,PHO,339,75,76,39,951
554,C.J. Watson,ORL,89,114,43,2,281
555,Briante Weber,TOT,26,21,12,1,62
556,Briante Weber,GSW,4,5,3,1,12
557,Briante Weber,CHO,22,16,9,0,50
558,David West,GSW,203,151,42,48,316
